municipality,region,province,prosperity_index
Menen,Région Flamande,Flandre Occidentale,91.0
Herzele,Région Flamande,Flandre Orientale,114.0
Middelkerke,Région Flamande,Flandre Occidentale,107.0
Damme,Région Flamande,Flandre Occidentale,111.0
Antwerpen,Région Flamande,Antwerpen,87.0
Ixelles,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,70.0
Bruxelles,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,70.0
Saint-Josse-Ten-Noode,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,70.0
Saint-Gilles,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,70.0
Mouscron,Région Wallonne,Hainaut,81.0
Alken,Région Flamande,Limbourg,112.0
Blankenberge,Région Flamande,Flandre Occidentale,102.0
Turnhout,Région Flamande,Antwerpen,93.0
Hechtel-Eksel,Région Flamande,Limbourg,98.0
Yvoir,Région Wallonne,Namur,105.0
Deinze,Région Flamande,Flandre Orientale,114.0
Molenbeek-Saint-Jean,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,58.0
Sint-Pieters-Leeuw,Région Flamande,Brabant Flamand,96.0
Roeselare,Région Flamande,Flandre Occidentale,100.0
Stekene,Région Flamande,Flandre Orientale,111.0
Geetbets,Région Flamande,Brabant Flamand,104.0
Tournai,Région Wallonne,Hainaut,95.0
Evere,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,73.0
Sint-Truiden,Région Flamande,Limbourg,103.0
Brugge,Région Flamande,Flandre Occidentale,110.0
Denderleeuw,Région Flamande,Flandre Orientale,101.0
Bertrix,Région Wallonne,Luxembourg,90.0
Nieuwpoort,Région Flamande,Flandre Occidentale,110.0
Erpe-Mere,Région Flamande,Flandre Orientale,115.0
Uccle,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,111.0
Profondeville,Région Wallonne,Namur,110.0
Wuustwezel,Région Flamande,Antwerpen,106.0
Herentals,Région Flamande,Antwerpen,110.0
Leuven,Région Flamande,Brabant Flamand,114.0
Oostende,Région Flamande,Flandre Occidentale,99.0
Halle,Région Flamande,Brabant Flamand,104.0
Liège,Région Wallonne,Liège,81.0
Lede,Région Flamande,Flandre Orientale,116.0
Charleroi,Région Wallonne,Hainaut,72.0
Waregem,Région Flamande,Flandre Occidentale,106.0
Vilvoorde,Région Flamande,Brabant Flamand,92.0
Anderlecht,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,62.0
Koksijde,Région Flamande,Flandre Occidentale,137.0
Ganshoren,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,79.0
La Roche-En-Ardenne,Région Wallonne,Luxembourg,93.0
Vosselaar,Région Flamande,Antwerpen,114.0
Geraardsbergen,Région Flamande,Flandre Orientale,103.0
Kasterlee,Région Flamande,Antwerpen,113.0
Fléron,Région Wallonne,Liège,95.0
Aalst,Région Flamande,Flandre Orientale,105.0
Kortemark,Région Flamande,Flandre Occidentale,96.0
Chaudfontaine,Région Wallonne,Liège,125.0
Grimbergen,Région Flamande,Brabant Flamand,114.0
Knokke-Heist,Région Flamande,Flandre Occidentale,150.0
Bornem,Région Flamande,Antwerpen,120.0
Gent,Région Flamande,Flandre Orientale,103.0
Balen,Région Flamande,Antwerpen,104.0
Woluwe-Saint-Pierre,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,112.0
Seraing,Région Wallonne,Liège,77.0
Kluisbergen,Région Flamande,Flandre Orientale,108.0
Saint-Nicolas,Région Wallonne,Liège,75.0
Izegem,Région Flamande,Flandre Occidentale,100.0
Kontich,Région Flamande,Antwerpen,126.0
Le Rœulx,Région Wallonne,Hainaut,103.0
Bernissart,Région Wallonne,Hainaut,91.0
Herselt,Région Flamande,Antwerpen,108.0
Zandhoven,Région Flamande,Antwerpen,115.0
Gavere,Région Flamande,Flandre Orientale,121.0
Braine-L'Alleud,Région Wallonne,Brabant Wallon,117.0
La Calamine,Région Wallonne,Liège,89.0
Bouillon,Région Wallonne,Luxembourg,89.0
Aartselaar,Région Flamande,Antwerpen,124.0
Dendermonde,Région Flamande,Flandre Orientale,107.0
Maasmechelen,Région Flamande,Limbourg,87.0
Oostrozebeke,Région Flamande,Flandre Occidentale,100.0
Houthulst,Région Flamande,Flandre Occidentale,93.0
Beauraing,Région Wallonne,Namur,87.0
Spa,Région Wallonne,Liège,97.0
Saint-Ghislain,Région Wallonne,Hainaut,95.0
Kapellen,Région Flamande,Antwerpen,129.0
Boussu,Région Wallonne,Hainaut,77.0
Aalter,Région Flamande,Flandre Orientale,115.0
Kortrijk,Région Flamande,Flandre Occidentale,103.0
Etterbeek,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,70.0
Florenville,Région Wallonne,Luxembourg,90.0
De Haan,Région Flamande,Flandre Occidentale,117.0
Visé,Région Wallonne,Liège,96.0
Espierres-Helchin,Région Flamande,Flandre Occidentale,99.0
Mechelen,Région Flamande,Antwerpen,105.0
Jabbeke,Région Flamande,Flandre Occidentale,118.0
Laarne,Région Flamande,Flandre Orientale,120.0
Oosterzele,Région Flamande,Flandre Orientale,122.0
Forest,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,81.0
Genappe,Région Wallonne,Brabant Wallon,116.0
Sint-Martens-Latem,Région Flamande,Flandre Orientale,151.0
Huy,Région Wallonne,Liège,93.0
Lier,Région Flamande,Antwerpen,109.0
Jodoigne,Région Wallonne,Brabant Wallon,106.0
Namur,Région Wallonne,Namur,98.0
Schaerbeek,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,68.0
Wavre,Région Wallonne,Brabant Wallon,112.0
Machelen,Région Flamande,Brabant Flamand,86.0
Eeklo,Région Flamande,Flandre Orientale,100.0
Ittre,Région Wallonne,Brabant Wallon,115.0
De Panne,Région Flamande,Flandre Occidentale,107.0
Marchin,Région Wallonne,Liège,105.0
Aarschot,Région Flamande,Brabant Flamand,114.0
Woluwe-Saint-Lambert,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,93.0
Tienen,Région Flamande,Brabant Flamand,105.0
Koekelberg,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,67.0
Nandrin,Région Wallonne,Liège,126.0
Hastière,Région Wallonne,Namur,84.0
Herstal,Région Wallonne,Liège,80.0
Ieper,Région Flamande,Flandre Occidentale,100.0
Ninove,Région Flamande,Flandre Orientale,104.0
Grâce-Hollogne,Région Wallonne,Liège,83.0
Berlaar,Région Flamande,Antwerpen,107.0
Libramont-Chevigny,Région Wallonne,Luxembourg,97.0
La Louvière,Région Wallonne,Hainaut,80.0
Crisnée,Région Wallonne,Liège,112.0
Rendeux,Région Wallonne,Luxembourg,92.0
Arlon,Région Wallonne,Luxembourg,114.0
Londerzeel,Région Flamande,Brabant Flamand,118.0
Léglise,Région Wallonne,Luxembourg,100.0
Meerhout,Région Flamande,Antwerpen,107.0
Zaventem,Région Flamande,Brabant Flamand,102.0
Mons,Région Wallonne,Hainaut,87.0
Brasschaat,Région Flamande,Antwerpen,121.0
Pepinster,Région Wallonne,Liège,92.0
Lille,Région Flamande,Antwerpen,108.0
Paliseul,Région Wallonne,Luxembourg,90.0
Aubange,Région Wallonne,Luxembourg,89.0
Estaimpuis,Région Wallonne,Hainaut,93.0
Oudenburg,Région Flamande,Flandre Occidentale,104.0
Amay,Région Wallonne,Liège,93.0
Aywaille,Région Wallonne,Liège,100.0
Zoersel,Région Flamande,Antwerpen,121.0
Renaix,Région Flamande,Flandre Orientale,84.0
Marche-En-Famenne,Région Wallonne,Luxembourg,94.0
Orp-Jauche,Région Wallonne,Brabant Wallon,108.0
Rotselaar,Région Flamande,Brabant Flamand,127.0
Overijse,Région Flamande,Brabant Flamand,130.0
Malmedy,Région Wallonne,Liège,96.0
Sint-Niklaas,Région Flamande,Flandre Orientale,96.0
Dinant,Région Wallonne,Namur,89.0
Olen,Région Flamande,Antwerpen,108.0
Waterloo,Région Wallonne,Brabant Wallon,127.0
Willebroek,Région Flamande,Antwerpen,100.0
Houthalen-Helchteren,Région Flamande,Limbourg,93.0
Herent,Région Flamande,Brabant Flamand,133.0
Bassenge,Région Wallonne,Liège,98.0
Flémalle,Région Wallonne,Liège,88.0
Wanze,Région Wallonne,Liège,105.0
Zottegem,Région Flamande,Flandre Orientale,116.0
